status,lot_no,stone_id,location,weight,shape,color,clarity,cut,polish,symmetry,rapnet_price,system_discount,system price,system amount,lab,certificate,certi_pdf_url,ratio,measurements,fluor_int,table,depth,crown_ht,crown_angle,pavilion_dep,pavilion_an,stone_type,v360,imgurl,eye_clean
Available,RPE 183 121,57066A,INDIA,5.25,Round,E,SI2,EX,EX,EX,29500,-98.5,442.5,2323.13,IGI,591325294,Click Here,0.99,10.90 x 10.98 - 6.97,None,60,63.7,15,36.7,44.5,41.8,CVD,Click Here,Click Here,NO
Available,RPE 183 121,57065A,INDIA,5.17,Round,D,VS1,EX,EX,EX,74500,-98,1490,7703.3,IGI,591371836,Click Here,1,10.98 x 11.03 - 6.82,None,56,62,16,36.3,42,40.2,CVD,Click Here,Click Here,YES
Available,RPE 183 121,57064A,INDIA,5.04,Round,F,VS2,EX,EX,EX,49000,-98.94,519.4,2617.78,IGI,591317714,Click Here,1,10.86 x 10.89 - 6.85,None,58,63,15.5,36.5,43.5,41,CVD,Click Here,Click Here,YES
Available,RPE 183 121,57068A,INDIA,5.04,Round,F,SI1,EX,EX,EX,36000,-98.8,432,2177.28,IGI,592320546,Click Here,0.99,10.90 x 10.96 - 6.83,None,58,62.5,15.5,36.5,43,40.8,CVD,Click Here,Click Here,YES
Available,RPE 183 121,57036A,INDIA,5.03,Round,E,VS2,EX,EX,EX,55500,-98.93,593.57,2985.67,IGI,591317715,Click Here,1,10.88 x 10.93 - 6.82,None,58,62.5,15.5,36.4,43,40.9,CVD,Click Here,Click Here,NO
Available,RPE 183 121,57045A,INDIA,5.01,Round,F,VS2,EX,EX,EX,49000,-98.94,521.85,2614.47,IGI,591317717,Click Here,0.99,10.82 x 10.88 - 6.75,None,60,62.2,15,36.3,43,40.8,CVD,Click Here,Click Here,YES
Available,RPE 183 121,57070A,INDIA,5.01,Round,F,SI1,ID,EX,EX,36000,-98.8,432,2164.32,IGI,593391719,Click Here,1,11.00 x 11.05 - 6.69,None,58,60.7,15,35.3,42.5,40.4,CVD,Click Here,Click Here,NO
Available,RPE 183 121,57047A,INDIA,5.01,Round,F,SI1,ID,EX,EX,36000,-98.84,418.5,2096.69,IGI,591317716,Click Here,0.99,10.85 x 10.92 - 6.74,None,56,61.8,16,35.9,42,40.1,CVD,Click Here,Click Here,YES
Available,RPE 183 121,57056A,INDIA,5.01,Round,H,VS2,EX,EX,EX,34000,-98.54,496.4,2486.96,IGI,592320548,Click Here,0.99,10.83 x 10.91 - 6.80,None,57,62.5,16,36.6,42.5,40.6,CVD,Click Here,Click Here,YES
Available,RPE 183 121,57032A,INDIA,5,Round,F,SI1,EX,EX,EX,36000,-98.75,450,2250,IGI,592320547,Click Here,0.99,10.79 x 10.88 - 6.82,None,58,62.9,15.5,36.7,43.5,41,CVD,Click Here,Click Here,YES
Available,RPE 183 121,57049A,,5,Round,G,SI1,EX,EX,VG,32000,-98.75,400,2000,IGI,592343678,Click Here,0.99,10.69 x 10.81 - 6.81,None,55,63.2,16.5,36.6,42.5,40.4,CVD,Click Here,Click Here,NO
Available,RPE 183 121,57013A,INDIA,4.6,Round,F,VS1,ID,EX,EX,42500,-99.05,403.75,1857.25,IGI,589302799,Click Here,1,10.64 x 10.69 - 6.51,None,57,61.1,16,36.2,42,40.1,CVD,Click Here,Click Here,YES
Available,RPE 12 134,60075A,,4.55,Round,E,VS1,EX,EX,EX,49000,-98.95,514.5,2340.98,IGI,598390067,Click Here,0.99,10.48 x 10.54 - 6.63,None,56,63.1,16.5,36.6,43,40.7,CVD,Click Here,Click Here,YES
Available,RPE 183 121,56984A,INDIA,4.52,Round,E,VS2,EX,EX,EX,41000,-99.05,389.5,1760.54,IGI,589302804,Click Here,0.99,10.43 x 10.49 - 6.62,None,57,63.3,16,36.4,43.5,41.1,CVD,Click Here,Click Here,NO
Available,RPE 08 130,121529A,,4.52,Round,F,VS2,EX,EX,EX,36500,-99.05,346.75,1567.31,IGI,598390052,Click Here,1,10.45 x 10.50 - 6.58,None,60,62.8,15,36.5,44,41.4,CVD,Click Here,Click Here,YES
Available,RPE 04 126,114526A,,4.51,Round,E,VS1,EX,EX,EX,49000,-95,2450,11049.5,IGI,597377200,Click Here,0.99,10.44 x 10.51 - 6.50,None,58,62,16,36.7,42.5,40.3,CVD,Click Here,Click Here,YES
